name,domain,sector,techno,contact_email,country,signals
Acme SaaS,acmesaass.com,SaaS,Stripe,acme@acme.com,France,"IA, recrutement"
CryptoMarket,cryptomarket.io,Crypto,Metamask,contact@cryptomarket.io,US,"partenariat, B2B"
Webify,webify.agency,Agence web,Shopify,hello@webify.agency,France,"white-label, promo"
LegalPower,legalpower.fr,Legal,DocuSign,legal@legalpower.fr,France,"expansion, lancement"
HappyFood,happyfood.com,FoodTech,UberEats,contact@happyfood.com,Canada,"nouvelle collection, partenariat"
MobilityX,mobilityx.eu,Transport,Stripe,team@mobilityx.eu,Allemagne,"lancement, croissance"
SaaSCloud,saascloud.com,SaaS,PayPal,contact@saascloud.com,US,"nouveau produit"
CryptoBiz,cryptobiz.fr,Crypto,Ledger,hello@cryptobiz.fr,France,"financement, recrutement"
GreenBuild,greenbuild.fr,Construction,Salesforce,contact@greenbuild.fr,France,"innovation, B2B"
EduPlus,eduplus.com,EdTech,Zoom,info@eduplus.com,UK,"formation, croissance"
HealthLink,healthlink.io,HealthTech,Stripe,contact@healthlink.io,France,"lancement, IA"
CityHome,cityhome.fr,Immobilier,Stripe,info@cityhome.fr,France,"location, recrutement"
MarketBoost,marketboost.co,Marketing,HubSpot,hello@marketboost.co,US,"campagne, partenariat"
LegalPro,legalpro.com,Legal,DocuSign,contact@legalpro.com,Canada,"expansion, B2B"
EasyBooks,easybooks.eu,Comptabilité,Xero,info@easybooks.eu,France,"SaaS, croissance"
TravelNow,travelnow.com,Travel,Stripe,contact@travelnow.com,Espagne,"nouvelle offre, lancement"
